Rk,'',Player
24,Gal Mekel,''
25,Austin Rivers,''
20,Quincy Pondexter,Darius Miller
21,'',Russ Smith
23,Anthony Davis,''
42,Alexis Ajinca,''
1,Tyreke Evans,Tyreke Evans
0,Dante Cunningham,''
3,Omer Asik,Eric Gordon
2,Elliot Williams,Anthony Davis
5,Jeff Withey,Ryan Anderson
4,Nate Wolters,Omer Asik
7,'',Jrue Holiday
6,'',Dante Cunningham
9,Russ Smith,Alexis Ajinca
8,Luke Babbitt,Quincy Pondexter
13,'',Jimmer Fredette
11,Jrue Holiday,Austin Rivers
10,Eric Gordon,Luke Babbitt
No.,Player,''
12,'',Norris Cole
15,John Salmons,Jeff Withey
14,'',John Salmons
17,'',Nate Wolters
16,Toney Douglas,Toney Douglas
33,Ryan Anderson,''
32,Jimmer Fredette,''
30,Norris Cole,''
19,'',Gal Mekel
18,'',Elliot Williams
