No.,Player,Pos,PER
15,Anthony Bennett,PF,6.9
21,Andrew Bynum,C,14.8
6,Earl Clark,PF,8.6
31,Seth Curry,PG,19.9
8-9,Matthew Dellavedova,SG,10.7
9,Luol Deng,SF,14.0
24,Shane Edwards,SF,-1.0
30,Carrick Felix,SG,13.3
33,Alonzo Gee,SF,8.6
32,Spencer Hawes,C,16.6
24,Scotty Hopson,SG,-6.5
2,Kyrie Irving,PG,20.1
1,Jarrett Jack,PG,11.5
10,Sergey Karasev,SF,2.3
0,C.J. Miles,SG,16.0
50,Arinze Onuaku,PF,-5.3
14,Henry Sims,C,10.7
13,Tristan Thompson,PF,14.9
17,Anderson Varejao,C,17.0
3,Dion Waiters,SG,14.0
40,Tyler Zeller,C,15.4
